id_cliente,situacao_cliente,idade,genero,qtde_dependentes,escolaridade,estado_civil,faixa_renda,categoria_cartao,meses_relacionamento,qtde_produtos,meses_inativo_12m,qtde_contatos_12m,limite_credito,saldo_rotativo_total,limite_disponivel_medio,mudanca_valor_transacoes_Q4_Q1,valor_total_transacoes,qtde_total_transacoes,mudanca_qtde_transacoes_Q4_Q1,taxa_utilizacao_media,faixa_etaria,anos_relacionamento,valor_medio_transacao,percentual_limite_usado,categoria_cartao_nivel,alvo_churn
708790833,Cliente Ativo,42,Masculino,5,Sem escolaridade,Não informado,Mais de US$120K,Azul,31,5,3,2,6748.0,1467,5281.0,0.831,1201.0,42,0.68,0.217,35–44,2.6,28.6,21.7,1,0
710821833,Cliente Ativo,65,Masculino,1,Não informado,Casado(a),US$40K–US$60K,Azul,54,6,2,3,9095.0,1587,7508.0,1.433,1314.0,26,1.364,0.174,55–64,4.5,50.54,17.4,1,0
710599683,Cliente Ativo,56,Masculino,1,Faculdade,Solteiro(a),US$80K–US$120K,Azul,36,3,6,0,11751.0,0,11751.0,1.5147399999999998,1539.0,20,1.455,0.0,55–64,3.0,90.53,0.0,1,0
816082233,Cliente Ativo,35,Masculino,3,Graduado,Não informado,US$60K–US$80K,Azul,30,5,1,3,8547.0,1666,6881.0,1.163,1311.0,33,1.455,0.195,26–34,2.5,39.73,19.5,1,0
712396908,Cliente Ativo,57,Feminino,2,Graduado,Casado(a),Menos de US$40K,Azul,48,5,2,2,2436.0,680,1756.0,1.19,1570.0,29,0.611,0.279,55–64,4.0,54.14,27.9,1,0
714885258,Cliente Ativo,44,Masculino,4,Não informado,Não informado,US$80K–US$120K,Azul,37,5,1,2,4234.0,972,3262.0,1.5147399999999998,1348.0,27,1.455,0.23,35–44,3.1,49.93,23.0,1,0
709967358,Cliente Ativo,48,Masculino,4,Pós-graduado,Solteiro(a),US$80K–US$120K,Azul,36,6,2,3,30367.0,2362,28005.0,1.5147399999999998,1671.0,27,0.929,0.078,45–54,3.0,61.89,7.8,1,0
753327333,Cliente Ativo,41,Masculino,3,Não informado,Casado(a),US$80K–US$120K,Azul,34,4,4,1,13535.0,1291,12244.0,0.653,1028.0,21,1.455,0.095,35–44,2.8,48.95,9.5,1,0
806160108,Cliente Ativo,61,Masculino,1,Ensino médio,Casado(a),US$40K–US$60K,Azul,56,2,2,3,3193.0,2517,676.0,1.5147399999999998,1336.0,30,1.143,0.788,55–64,4.7,44.53,78.8,1,0
709327383,Cliente Ativo,45,Feminino,2,Graduado,Casado(a),Não informado,Azul,37,6,1,2,14470.0,1157,13313.0,0.966,1207.0,21,0.909,0.08,35–44,3.1,57.48,8.0,1,0
806165208,Cliente Ativo,47,Masculino,1,Doutorado,Divorciado(a),US$60K–US$80K,Azul,42,5,2,0,20979.0,1800,19179.0,0.906,1178.0,27,0.929,0.086,45–54,3.5,43.63,8.6,1,0
708508758,Cliente Perdido,62,Feminino,0,Graduado,Casado(a),Menos de US$40K,Azul,49,2,3,3,1438.3,0,1438.3,1.047,869.26,20,0.6,0.0,55–64,4.1,43.25,0.0,1,1
784725333,Cliente Ativo,41,Masculino,3,Ensino médio,Casado(a),US$40K–US$60K,Azul,33,4,2,1,4470.0,680,3790.0,1.5147399999999998,931.0,20,1.455,0.152,35–44,2.8,51.72,15.2,1,0
811604133,Cliente Ativo,47,Feminino,4,Não informado,Solteiro(a),Menos de US$40K,Azul,36,3,3,2,2492.0,1560,932.0,0.573,1126.0,23,0.353,0.626,45–54,3.0,48.96,62.6,1,0
789124683,Cliente Ativo,54,Masculino,2,Não informado,Casado(a),US$80K–US$120K,Azul,42,4,2,3,12217.0,0,12217.0,1.075,1110.0,21,0.75,0.0,45–54,3.5,52.86,0.0,1,0
771071958,Cliente Ativo,41,Feminino,3,Graduado,Solteiro(a),Menos de US$40K,Azul,28,6,1,2,7768.0,1669,6099.0,0.797,1051.0,22,0.833,0.215,35–44,2.3,47.77,21.5,1,0
720466383,Cliente Ativo,59,Masculino,1,Ensino médio,Não informado,US$40K–US$60K,Azul,46,4,1,2,14784.0,1374,13410.0,0.921,1197.0,23,1.3,0.093,55–64,3.8,52.04,9.3,1,0
804424383,Cliente Ativo,63,Masculino,1,Não informado,Casado(a),US$60K–US$80K,Azul,56,3,3,2,10215.0,1010,9205.0,0.843,1904.0,40,1.0,0.099,55–64,4.7,47.6,9.9,1,0
718813833,Cliente Ativo,44,Feminino,3,Sem escolaridade,Solteiro(a),Não informado,Azul,34,5,2,2,10100.0,0,10100.0,0.525,1052.0,20,1.455,0.0,35–44,2.8,58.44,0.0,1,0
806624208,Cliente Ativo,47,Masculino,4,Ensino médio,Casado(a),US$40K–US$60K,Azul,42,6,0,0,4785.0,1362,3423.0,0.739,1045.0,38,0.9,0.285,45–54,3.5,27.5,28.5,1,0
778348233,Cliente Ativo,53,Masculino,3,Não informado,Casado(a),US$80K–US$120K,Azul,33,3,2,3,2753.0,1811,942.0,0.977,1038.0,25,1.455,0.658,45–54,2.8,41.52,65.8,1,0
712991808,Cliente Ativo,53,Masculino,2,Sem escolaridade,Casado(a),US$60K–US$80K,Azul,48,2,5,1,2451.0,1690,761.0,1.323,1596.0,26,1.455,0.69,45–54,4.0,61.38,69.0,1,0
709029408,Cliente Ativo,41,Masculino,4,Graduado,Casado(a),US$60K–US$80K,Azul,36,4,1,2,8923.0,2517,6406.0,1.5147399999999998,1589.0,24,1.455,0.282,35–44,3.0,66.21,28.2,1,0
788658483,Cliente Ativo,53,Feminino,2,Faculdade,Casado(a),Menos de US$40K,Azul,38,5,2,3,2650.0,1490,1160.0,1.5147399999999998,1411.0,28,1.0,0.562,45–54,3.2,50.39,56.2,1,0
787937058,Cliente Ativo,58,Masculino,0,Graduado,Casado(a),US$80K–US$120K,Azul,49,6,2,2,12555.0,1696,10859.0,0.519,1291.0,24,0.714,0.135,55–64,4.1,53.79,13.5,1,0
715318008,Cliente Ativo,55,Feminino,1,Faculdade,Solteiro(a),Menos de US$40K,Azul,36,4,2,1,3520.0,1914,1606.0,0.51,1407.0,43,0.483,0.544,45–54,3.0,32.72,54.4,1,0
713962233,Cliente Ativo,55,Feminino,3,Graduado,Casado(a),Menos de US$40K,Azul,36,6,2,3,3035.0,2298,737.0,1.5147399999999998,1877.0,37,1.176,0.757,45–54,3.0,50.73,75.7,1,0
785432733,Cliente Ativo,42,Feminino,4,Ensino médio,Casado(a),Menos de US$40K,Ouro,36,2,3,3,15433.0,0,15433.0,0.865,966.0,22,1.2,0.0,35–44,3.0,43.91,0.0,3,0
715190283,Cliente Ativo,57,Feminino,1,Graduado,Não informado,US$40K–US$60K,Azul,49,3,3,2,3672.0,886,2786.0,1.32,1464.0,28,0.556,0.241,55–64,4.1,52.29,24.1,1,0
708300483,Cliente Perdido,66,Feminino,0,Doutorado,Casado(a),Não informado,Azul,56,5,4,3,7882.0,605,7277.0,1.052,869.26,20,0.231,0.077,65–74,4.7,44.0,7.7,1,1
827111283,Cliente Ativo,45,Masculino,3,Graduado,Solteiro(a),US$80K–US$120K,Azul,41,2,2,2,32426.0,578,31848.0,1.042,1109.0,28,0.474,0.018,35–44,3.4,39.61,1.8,1,0
758551608,Cliente Ativo,51,Masculino,2,Não informado,Casado(a),US$40K–US$60K,Azul,44,4,1,0,6205.0,2204,4001.0,0.803,1347.0,28,0.556,0.355,45–54,3.7,48.11,35.5,1,0
773146383,Cliente Ativo,50,Feminino,1,Faculdade,Solteiro(a),US$40K–US$60K,Prata,43,3,2,3,17304.0,2517,14787.0,1.449,1756.0,33,1.2,0.145,45–54,3.6,53.21,14.5,2,0
778493808,Cliente Ativo,49,Masculino,3,Ensino médio,Casado(a),US$60K–US$80K,Azul,37,5,2,1,3906.0,0,3906.0,1.214,1756.0,32,1.0,0.0,45–54,3.1,54.88,0.0,1,0
720572508,Cliente Ativo,38,Feminino,4,Graduado,Solteiro(a),Não informado,Azul,28,2,3,3,9830.0,2055,7775.0,0.977,1042.0,23,0.917,0.209,35–44,2.3,45.3,20.9,1,0
712661433,Cliente Ativo,49,Masculino,4,Sem escolaridade,Solteiro(a),US$80K–US$120K,Azul,30,3,2,3,34516.0,0,34294.14,1.5147399999999998,1444.0,28,1.333,0.0,45–54,2.5,51.57,0.0,1,0
789172683,Cliente Ativo,56,Masculino,2,Doutorado,Casado(a),US$60K–US$80K,Azul,45,6,2,0,2283.0,1430,853.0,1.5147399999999998,1741.0,27,0.588,0.626,55–64,3.8,64.48,62.6,1,0
738406533,Cliente Ativo,59,Masculino,1,Doutorado,Casado(a),US$40K–US$60K,Azul,52,3,2,2,2548.0,2020,528.0,1.5147399999999998,1719.0,27,1.455,0.793,55–64,4.3,63.67,79.3,1,0
799723908,Cliente Ativo,46,Masculino,3,Ensino médio,Casado(a),US$80K–US$120K,Azul,40,4,3,3,19458.0,1435,18023.0,0.787,1217.0,27,0.8,0.074,45–54,3.3,45.07,7.4,1,0
771490833,Cliente Ativo,52,Masculino,1,Faculdade,Solteiro(a),US$80K–US$120K,Azul,40,5,1,1,4745.0,1227,3518.0,0.624,1140.0,40,0.6,0.259,45–54,3.3,28.5,25.9,1,0
720756708,Cliente Ativo,52,Feminino,3,Não informado,Casado(a),Menos de US$40K,Azul,41,6,3,2,2622.0,1549,1073.0,1.321,1878.0,30,1.143,0.591,45–54,3.4,62.6,59.1,1,0
779471883,Cliente Perdido,54,Feminino,1,Graduado,Casado(a),Menos de US$40K,Azul,40,2,3,1,1438.3,808,630.3,0.997,869.26,20,0.9,0.562,45–54,3.3,37.11,56.2,1,1
711525033,Cliente Ativo,66,Feminino,0,Ensino médio,Casado(a),Menos de US$40K,Azul,54,3,4,2,3171.0,2179,992.0,1.224,1946.0,38,1.455,0.687,65–74,4.5,51.21,68.7,1,0
712813458,Cliente Ativo,49,Masculino,2,Não informado,Casado(a),Mais de US$120K,Azul,36,4,2,0,19763.0,2517,17246.0,0.664,1414.0,35,0.25,0.127,45–54,3.0,40.4,12.7,1,0
714374133,Cliente Perdido,56,Masculino,2,Graduado,Casado(a),Mais de US$120K,Azul,36,1,3,3,15769.0,0,15769.0,1.041,869.26,20,0.364,0.0,55–64,3.0,40.13,0.0,1,1
717891558,Cliente Ativo,49,Feminino,4,Graduado,Não informado,Menos de US$40K,Azul,36,6,4,2,3298.0,2200,1098.0,0.678,1052.0,32,0.6,0.667,45–54,3.0,32.88,66.7,1,0
716632758,Cliente Ativo,49,Feminino,3,Graduado,Solteiro(a),Menos de US$40K,Azul,36,2,2,0,2802.0,2363,439.0,0.75,1295.0,40,0.6,0.843,45–54,3.0,32.38,84.3,1,0
768563658,Cliente Ativo,56,Masculino,2,Sem escolaridade,Casado(a),US$40K–US$60K,Azul,50,4,2,3,4458.0,1880,2578.0,1.107,1424.0,29,1.417,0.422,55–64,4.2,49.1,42.2,1,0
711427458,Cliente Ativo,44,Feminino,5,Graduado,Casado(a),Não informado,Azul,35,4,1,2,6273.0,978,5295.0,1.5147399999999998,1359.0,25,1.083,0.156,35–44,2.9,54.36,15.6,1,0
714091983,Cliente Ativo,42,Masculino,2,Ensino médio,Solteiro(a),US$60K–US$80K,Azul,34,4,4,3,3336.0,1753,1583.0,0.69,1168.0,27,1.25,0.525,35–44,2.8,43.26,52.5,1,0
787584108,Cliente Ativo,55,Masculino,3,Não informado,Casado(a),US$80K–US$120K,Azul,47,4,2,3,3436.0,2016,1420.0,0.901,1097.0,33,0.833,0.587,45–54,3.9,33.24,58.7,1,0
712030833,Cliente Perdido,48,Masculino,2,Graduado,Casado(a),US$60K–US$80K,Prata,35,2,4,4,34516.0,0,34294.14,0.763,869.26,20,0.5,0.0,45–54,2.9,46.07,0.0,2,1
711481533,Cliente Ativo,39,Masculino,1,Ensino médio,Divorciado(a),US$60K–US$80K,Azul,33,5,3,3,5926.0,1251,4675.0,0.944,1316.0,28,1.154,0.211,35–44,2.8,47.0,21.1,1,0
710082708,Cliente Ativo,44,Masculino,4,Pós-graduado,Solteiro(a),Mais de US$120K,Azul,32,2,4,2,23957.0,2102,21855.0,0.997,1276.0,26,0.733,0.088,35–44,2.7,49.08,8.8,1,0
708155733,Cliente Ativo,53,Masculino,2,Ensino médio,Solteiro(a),Mais de US$120K,Azul,44,4,2,2,14734.0,1634,13100.0,0.989,1289.0,23,0.917,0.111,45–54,3.7,56.04,11.1,1,0
788979258,Cliente Ativo,51,Masculino,4,Sem escolaridade,Solteiro(a),US$80K–US$120K,Prata,38,4,1,4,34516.0,1515,33001.0,0.592,1293.0,32,0.6,0.044,45–54,3.2,40.41,4.4,2,0
807986133,Cliente Ativo,57,Masculino,2,Faculdade,Casado(a),US$60K–US$80K,Azul,52,5,3,3,6584.0,1817,4767.0,0.62,1353.0,35,0.667,0.276,55–64,4.3,38.66,27.6,1,0
788730933,Cliente Ativo,44,Feminino,2,Sem escolaridade,Solteiro(a),Menos de US$40K,Azul,20,6,3,3,2084.0,1468,616.0,1.004,1132.0,28,0.556,0.704,35–44,1.7,40.43,70.4,1,0
711314058,Cliente Ativo,49,Masculino,2,Graduado,Casado(a),US$60K–US$80K,Azul,32,2,2,2,1687.0,1107,580.0,1.5147399999999998,1670.0,20,1.455,0.656,45–54,2.7,98.24,65.6,1,0
717975333,Cliente Ativo,50,Masculino,2,Doutorado,Casado(a),US$80K–US$120K,Azul,38,6,2,2,25300.0,1330,23970.0,1.072,869.26,20,1.455,0.053,45–54,3.2,55.8,5.3,1,0
715971108,Cliente Ativo,51,Masculino,4,Graduado,Solteiro(a),Mais de US$120K,Azul,42,3,2,3,34516.0,1763,32753.0,1.266,1550.0,41,1.05,0.051,45–54,3.5,37.8,5.1,1,0
720096558,Cliente Ativo,55,Feminino,2,Graduado,Casado(a),Menos de US$40K,Azul,42,5,3,3,2216.0,1034,1182.0,0.758,1540.0,36,0.286,0.467,45–54,3.5,42.78,46.7,1,0
719580033,Cliente Ativo,54,Masculino,1,Graduado,Não informado,US$60K–US$80K,Azul,43,4,2,3,2910.0,2030,880.0,0.769,1256.0,21,0.4,0.698,45–54,3.6,59.81,69.8,1,0
820582308,Cliente Ativo,42,Masculino,5,Sem escolaridade,Casado(a),US$80K–US$120K,Azul,37,6,2,2,22913.0,1528,21385.0,0.414,1394.0,35,0.522,0.067,35–44,3.1,39.83,6.7,1,0
789973308,Cliente Ativo,44,Masculino,1,Faculdade,Solteiro(a),US$60K–US$80K,Azul,35,3,3,3,24312.0,1932,22380.0,1.312,1341.0,24,1.182,0.079,35–44,2.9,55.88,7.9,1,0
712876233,Cliente Ativo,53,Masculino,2,Graduado,Solteiro(a),US$80K–US$120K,Azul,36,5,3,2,5272.0,1515,3757.0,0.857,1289.0,33,0.435,0.287,45–54,3.0,39.06,28.7,1,0
804595158,Cliente Ativo,44,Feminino,4,Graduado,Solteiro(a),Menos de US$40K,Azul,36,6,4,2,7000.0,2517,4483.0,0.475,1112.0,23,1.455,0.36,35–44,3.0,48.35,36.0,1,0
714826758,Cliente Ativo,37,Feminino,3,Sem escolaridade,Solteiro(a),Menos de US$40K,Azul,29,4,4,2,7038.0,1801,5237.0,0.751,2339.0,57,0.966,0.256,35–44,2.4,41.04,25.6,1,0
779058108,Cliente Ativo,49,Masculino,3,Graduado,Divorciado(a),US$60K–US$80K,Azul,30,6,1,2,2536.0,1823,713.0,0.703,1468.0,23,0.353,0.719,45–54,2.5,63.83,71.9,1,0
710790258,Cliente Ativo,47,Masculino,2,Graduado,Casado(a),US$80K–US$120K,Azul,38,6,3,2,28904.0,1899,27005.0,0.85,1334.0,35,0.4,0.066,45–54,3.2,38.11,6.6,1,0
715623483,Cliente Ativo,47,Masculino,3,Graduado,Casado(a),US$60K–US$80K,Azul,37,4,4,0,8567.0,1695,6872.0,1.242,1457.0,41,1.412,0.198,45–54,3.1,35.54,19.8,1,0
715156383,Cliente Ativo,44,Masculino,1,Não informado,Não informado,Mais de US$120K,Azul,36,6,2,2,34516.0,1533,32983.0,0.924,1603.0,29,0.526,0.044,35–44,3.0,55.28,4.4,1,0
711013983,Cliente Perdido,55,Feminino,4,Não informado,Casado(a),US$40K–US$60K,Azul,45,2,4,3,2158.0,0,2158.0,0.585,869.26,20,0.714,0.0,45–54,3.8,51.25,0.0,1,1
755420433,Cliente Ativo,59,Feminino,1,Graduado,Casado(a),Não informado,Azul,52,2,3,3,10133.0,1417,8716.0,0.383,1068.0,20,0.818,0.14,55–64,4.3,53.4,14.0,1,0
794543958,Cliente Ativo,53,Masculino,1,Graduado,Divorciado(a),US$80K–US$120K,Azul,35,5,4,2,34516.0,1219,33297.0,1.129,1590.0,27,1.455,0.035,45–54,2.9,58.89,3.5,1,0
716396358,Cliente Ativo,52,Masculino,2,Graduado,Casado(a),US$60K–US$80K,Azul,47,5,3,0,3085.0,1910,1175.0,0.921,1531.0,35,0.667,0.619,45–54,3.9,43.74,61.9,1,0
715398033,Cliente Ativo,53,Masculino,2,Ensino médio,Solteiro(a),Mais de US$120K,Azul,35,4,2,1,19040.0,2056,16984.0,0.607,1212.0,31,0.722,0.108,45–54,2.9,39.1,10.8,1,0
711743883,Cliente Ativo,43,Feminino,3,Sem escolaridade,Solteiro(a),Menos de US$40K,Azul,35,5,2,3,4026.0,0,4026.0,0.483,1237.0,32,0.6,0.0,35–44,2.9,38.66,0.0,1,0
719720058,Cliente Ativo,44,Masculino,3,Ensino médio,Solteiro(a),US$60K–US$80K,Azul,31,4,3,1,12756.0,837,11919.0,1.5147399999999998,1413.0,20,1.455,0.066,35–44,2.6,100.93,6.6,1,0
778992108,Cliente Ativo,57,Masculino,2,Não informado,Casado(a),Mais de US$120K,Azul,45,5,3,3,5266.0,0,5266.0,1.5147399999999998,1516.0,29,1.455,0.0,55–64,3.8,52.28,0.0,1,0
717539808,Cliente Ativo,51,Feminino,2,Ensino médio,Solteiro(a),Menos de US$40K,Azul,36,3,2,2,9930.0,0,9930.0,0.731,1276.0,21,1.333,0.0,45–54,3.0,60.76,0.0,1,0
714070758,Cliente Ativo,49,Masculino,4,Ensino médio,Solteiro(a),US$80K–US$120K,Azul,38,4,3,0,31302.0,1953,29349.0,0.875,1564.0,35,1.455,0.062,45–54,3.2,44.69,6.2,1,0
714107958,Cliente Ativo,45,Masculino,1,Graduado,Solteiro(a),US$40K–US$60K,Azul,36,4,4,3,6576.0,0,6576.0,0.579,1465.0,34,0.619,0.0,35–44,3.0,43.09,0.0,1,0
789140283,Cliente Ativo,53,Masculino,0,Graduado,Solteiro(a),US$80K–US$120K,Azul,42,5,4,1,2664.0,2037,627.0,0.85,1286.0,29,0.933,0.765,45–54,3.5,44.34,76.5,1,0
715550508,Cliente Ativo,45,Feminino,3,Não informado,Casado(a),Não informado,Azul,28,5,1,2,2535.0,2440,210.078,1.5147399999999998,1312.0,20,1.222,0.963,35–44,2.3,65.6,96.3,1,0
719712633,Cliente Ativo,64,Masculino,1,Graduado,Casado(a),Menos de US$40K,Azul,52,6,4,3,1709.0,895,814.0,1.5147399999999998,1673.0,32,0.882,0.524,55–64,4.3,52.28,52.4,1,0
772629333,Cliente Ativo,45,Masculino,3,Graduado,Casado(a),US$40K–US$60K,Azul,35,5,4,2,3454.0,1200,2254.0,0.597,1313.0,30,0.304,0.347,35–44,2.9,43.77,34.7,1,0
720336708,Cliente Ativo,53,Masculino,3,Doutorado,Casado(a),US$40K–US$60K,Azul,35,5,3,2,3789.0,1706,2083.0,1.047,1609.0,42,0.68,0.45,45–54,2.9,38.31,45.0,1,0
802013583,Cliente Ativo,56,Masculino,3,Faculdade,Casado(a),Mais de US$120K,Azul,50,3,2,0,9689.0,2250,7439.0,0.576,1158.0,20,0.727,0.232,55–64,4.2,60.95,23.2,1,0
711887583,Cliente Perdido,47,Masculino,2,Não informado,Casado(a),US$80K–US$120K,Azul,37,2,3,3,5449.0,1628,3821.0,0.696,869.26,20,0.385,0.299,45–54,3.1,46.44,29.9,1,1
714778833,Cliente Ativo,49,Feminino,3,Faculdade,Solteiro(a),Não informado,Azul,43,4,4,0,23032.0,1960,21072.0,0.619,1289.0,22,1.0,0.085,45–54,3.6,58.59,8.5,1,0
713843283,Cliente Ativo,41,Feminino,3,Não informado,Casado(a),Não informado,Prata,34,5,3,3,34516.0,2053,32463.0,1.034,1487.0,26,0.733,0.059,35–44,2.8,57.19,5.9,2,0
779155158,Cliente Ativo,53,Masculino,3,Graduado,Casado(a),Mais de US$120K,Azul,34,6,2,2,2940.0,1264,1676.0,0.562,1259.0,33,0.5,0.43,45–54,2.8,38.15,43.0,1,0
721091583,Cliente Ativo,44,Feminino,2,Graduado,Solteiro(a),Menos de US$40K,Azul,32,3,3,3,3031.0,1879,1152.0,0.788,1298.0,20,1.455,0.62,35–44,2.7,86.53,62.0,1,0
713572683,Cliente Ativo,44,Masculino,3,Ensino médio,Não informado,US$60K–US$80K,Azul,25,3,3,0,1862.0,0,1862.0,0.883,1226.0,34,0.789,0.0,35–44,2.1,36.06,0.0,1,0
716657058,Cliente Ativo,43,Feminino,4,Pós-graduado,Casado(a),Menos de US$40K,Azul,33,2,3,3,8358.0,926,7432.0,0.762,1566.0,37,0.542,0.111,35–44,2.8,42.32,11.1,1,0
779509983,Cliente Ativo,53,Masculino,2,Pós-graduado,Solteiro(a),Mais de US$120K,Azul,36,6,1,2,34516.0,931,33585.0,0.828,1022.0,21,1.1,0.027,45–54,3.0,48.67,2.7,1,0
717929133,Cliente Ativo,44,Masculino,1,Sem escolaridade,Casado(a),US$60K–US$80K,Azul,36,5,2,3,14450.0,2440,12010.0,1.283,1235.0,30,0.667,0.169,35–44,3.0,41.17,16.9,1,0
808284783,Cliente Ativo,62,Feminino,1,Não informado,Casado(a),Menos de US$40K,Azul,56,6,0,0,1438.3,0,1438.3,0.813,1951.0,44,1.095,0.0,55–64,4.7,44.34,0.0,1,0
708476808,Cliente Ativo,54,Masculino,4,Não informado,Divorciado(a),Mais de US$120K,Azul,36,6,3,2,33791.0,1960,31831.0,0.618,1047.0,31,0.824,0.058,45–54,3.0,33.77,5.8,1,0
710916408,Cliente Ativo,57,Masculino,4,Graduado,Casado(a),US$60K–US$80K,Azul,39,4,3,0,8466.0,1886,6580.0,0.56,1342.0,32,0.391,0.223,55–64,3.2,41.94,22.3,1,0
708492558,Cliente Ativo,42,Masculino,3,Não informado,Casado(a),US$60K–US$80K,Azul,36,5,3,3,15088.0,865,14223.0,0.939,1107.0,21,1.455,0.057,35–44,3.0,52.71,5.7,1,0
799825758,Cliente Ativo,42,Masculino,4,Ensino médio,Divorciado(a),US$60K–US$80K,Azul,36,5,1,2,3263.0,1674,1589.0,0.588,1251.0,35,0.346,0.513,35–44,3.0,35.74,51.3,1,0
718619883,Cliente Ativo,54,Feminino,0,Sem escolaridade,Casado(a),Menos de US$40K,Azul,36,2,2,2,1494.0,706,788.0,1.5147399999999998,1305.0,24,1.455,0.473,45–54,3.0,54.38,47.3,1,0
711844758,Cliente Ativo,48,Masculino,3,Graduado,Solteiro(a),US$80K–US$120K,Azul,35,6,1,0,13551.0,1294,12257.0,0.791,1388.0,37,1.056,0.095,45–54,2.9,37.51,9.5,1,0
714798783,Cliente Ativo,49,Masculino,1,Graduado,Solteiro(a),US$80K–US$120K,Azul,36,6,2,2,18886.0,895,17991.0,1.5147399999999998,1235.0,20,1.455,0.047,45–54,3.0,68.61,4.7,1,0
826762908,Cliente Ativo,52,Masculino,3,Ensino médio,Não informado,US$80K–US$120K,Azul,48,3,2,0,11976.0,1273,10703.0,1.024,2089.0,36,1.118,0.106,45–54,4.0,58.03,10.6,1,0
771894558,Cliente Ativo,50,Masculino,3,Ensino médio,Solteiro(a),US$80K–US$120K,Azul,39,4,1,4,9964.0,1559,8405.0,1.5147399999999998,1626.0,25,0.786,0.156,45–54,3.2,65.04,15.6,1,0
721074183,Cliente Ativo,49,Masculino,1,Doutorado,Casado(a),US$60K–US$80K,Azul,36,4,6,3,24159.0,1196,22963.0,0.712,1111.0,24,1.0,0.05,45–54,3.0,46.29,5.0,1,0
715259583,Cliente Ativo,53,Feminino,2,Ensino médio,Casado(a),Menos de US$40K,Azul,44,3,2,3,5362.0,1901,3461.0,0.816,1553.0,38,1.0,0.355,45–54,3.7,40.87,35.5,1,0
718414008,Cliente Ativo,50,Masculino,2,Graduado,Solteiro(a),Mais de US$120K,Azul,36,3,2,2,34516.0,1023,33493.0,1.004,1064.0,20,0.625,0.03,45–54,3.0,81.85,3.0,1,0
719666283,Cliente Ativo,55,Feminino,1,Doutorado,Casado(a),Menos de US$40K,Azul,36,4,1,0,3174.0,1951,1223.0,0.766,1243.0,29,0.611,0.615,45–54,3.0,42.86,61.5,1,0
714877233,Cliente Ativo,53,Masculino,1,Ensino médio,Casado(a),US$80K–US$120K,Azul,47,3,2,2,12262.0,1836,10426.0,1.5147399999999998,1659.0,38,1.455,0.15,45–54,3.9,43.66,15.0,1,0
785387883,Cliente Ativo,47,Feminino,3,Ensino médio,Solteiro(a),US$40K–US$60K,Azul,41,4,3,3,3788.0,1540,2248.0,0.566,1594.0,47,0.382,0.407,45–54,3.4,33.91,40.7,1,0
